irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
508758,RG-50.028.0021,Yes,Yes,no
508759,RG-50.028.0022,Yes,Yes,No
508760,RG-50.028.0023,Yes,Yes,yes
508761,RG-50.028.0024,Yes,Yes,No
508762,RG-50.028.0025,Yes,Yes,No
508763,RG-50.028.0026,Yes,Yes,No
508764,RG-50.028.0027,Yes,Yes,No
508765,RG-50.028.0028,Yes,Yes,No
508766,RG-50.028.0029,Yes,Yes,yes
508767,RG-50.028.0030,Yes,Yes,No
508768,RG-50.028.0031,Yes,Yes,no
508769,RG-50.028.0032,Yes,Yes,No
508770,RG-50.028.0033,Yes,Yes,no
508771,RG-50.028.0034,Yes,Yes,yes
508772,RG-50.028.0035,Yes,Yes,yes
508773,RG-50.028.0036,Yes,Yes,No
508774,RG-50.028.0037,Yes,Yes,no
508775,RG-50.028.0038,Yes,Yes,yes
508776,RG-50.028.0039,Yes,Yes,no
508777,RG-50.028.0040,Yes,Yes,No
508778,RG-50.028.0041,Yes,Yes,No
508779,RG-50.028.0042,Yes,Yes,No
508781,RG-50.028.0044,Yes,Yes,No
508784,RG-50.028.0045,Yes,Yes,no
508785,RG-50.028.0046,Yes,Yes,no
508786,RG-50.028.0047,Yes,Yes,no
508787,RG-50.028.0048,Yes,Yes,Yes
508788,RG-50.028.0050,Yes,Yes,yes
508789,RG-50.028.0051,Yes,Yes,No
508790,RG-50.028.0052,Yes,Yes,yes
508791,RG-50.028.0053,Yes,Yes,no
508792,RG-50.028.0054,Yes,Yes,No
508793,RG-50.028.0055,Yes,Yes,No
508794,RG-50.028.0056,Yes,Yes,No
508795,RG-50.028.0057,Yes,Yes,yes
508796,RG-50.028.0058,Yes,Yes,No
